state+city+zip+pop+loc
MA+CLINTON+1510+13269+[-71.682847, 42.418147]
MA+EAST BROOKFIELD+1515+2033+[-72.048078, 42.219308]
MA+EAST DOUGLAS+1516+5594+[-71.726611, 42.060566]
MA+FISKDALE+1518+774+[-72.117764, 42.122762]
MA+GRAFTON+1519+4910+[-71.686848, 42.200371]
MA+HOLDEN+1520+12051+[-71.84142, 42.341983]
MA+HOLLAND+1521+747+[-72.154373, 42.040264]
MA+JEFFERSON+1522+2478+[-71.87058, 42.375519]
MA+LANCASTER+1523+6018+[-71.686831, 42.450984]
MA+LEICESTER+1524+6527+[-71.918829, 42.237047]
MA+MILLBURY+1527+12228+[-71.764438, 42.196779]
MA+MILLVILLE+1529+2236+[-71.579813, 42.033102]
MA+NEW BRAINTREE+1531+881+[-72.130642, 42.31977]
MA+NORTHBOROUGH+1532+11930+[-71.646372, 42.318242]
MA+NORTHBRIDGE+1534+4564+[-71.656366, 42.1494]
MA+NORTH BROOKFIELD+1535+4755+[-72.082129, 42.266455]
MA+NORTH GRAFTON+1536+5401+[-71.703691, 42.229726]
MA+NORTH OXFORD+1537+3031+[-71.885953, 42.16549]
MA+OXFORD+1540+9557+[-71.868677, 42.11285]
MA+PRINCETON+1541+3189+[-71.876245, 42.450812]
MA+ROCHDALE+1542+1154+[-71.906882, 42.199685]
MA+RUTLAND+1543+4936+[-71.948951, 42.376199]
MA+SHREWSBURY+1545+24146+[-71.720503, 42.284801]
MA+SOUTHBRIDGE+1550+17816+[-72.035347, 42.075024]
MA+SOUTH GRAFTON+1560+2719+[-71.692725, 42.176042]
MA+SPENCER+1562+11598+[-71.990617, 42.244103]
MA+STERLING+1564+6481+[-71.775192, 42.435351]
MA+STURBRIDGE+1566+7001+[-72.084233, 42.112619]
MA+WEST UPTON+1568+4682+[-71.608014, 42.173275]
MA+UXBRIDGE+1569+10364+[-71.632869, 42.074426]
MA+DUDLEY HILL+1570+3735+[-71.839467, 42.047574]
MA+DUDLEY+1571+22001+[-71.893228, 42.048894]
MA+WESTBOROUGH+1581+14132+[-71.617604, 42.267891]
MA+WEST BOYLSTON+1583+6611+[-71.783822, 42.35836]
MA+WEST BROOKFIELD+1585+3528+[-72.151137, 42.244137]
MA+WHITINSVILLE+1588+8807+[-71.664357, 42.115319]
MA+WILKINSONVILLE+1590+6719+[-71.748416, 42.140586]
MA+WORCESTER+1602+19988+[-71.841678, 42.270251]
MA+WORCESTER+1603+18605+[-71.837995, 42.245033]
MA+WORCESTER+1604+29036+[-71.774626, 42.254084]
MA+WORCESTER+1605+25695+[-71.788795, 42.289391]
MA+WORCESTER+1606+18213+[-71.795774, 42.311029]
MA+WORCESTER+1607+9048+[-71.793837, 42.230294]
MA+WORCESTER+1608+3646+[-71.800262, 42.262425]
MA+WORCESTER+1609+21905+[-71.817456, 42.275387]
MA+WORCESTER+1610+23720+[-71.810798, 42.249186]
MA+CHERRY VALLEY+1611+2510+[-71.874971, 42.237287]
MA+PAXTON+1612+4047+[-71.920234, 42.306646]
MA+FRAMINGHAM+1701+65046+[-71.425486, 42.300665]
MA+VILLAGE OF NAGOG+1718+2330+[-71.422354, 42.514941]
MA+BOXBORO+1719+3343+[-71.518229, 42.486876]
MA+ACTON+1720+15514+[-71.448255, 42.475076]
MA+ASHLAND+1721+12066+[-71.458347, 42.253909]
MA+BEDFORD+1730+16147+[-71.276796, 42.484287]
MA+BOLTON+1740+3134+[-71.607593, 42.436523]
MA+CARLISLE+1741+4333+[-71.351892, 42.528562]
MA+CONCORD+1742+17076+[-71.374741, 42.456701]
MA+SOUTHBOROUGH+1745+506+[-71.502256, 42.293221]
MA+HOLLISTON+1746+12917+[-71.436059, 42.202641]
MA+HOPEDALE+1747+5649+[-71.537601, 42.126796]
MA+HOPKINTON+1748+9191+[-71.530178, 42.219046]
MA+HUDSON+1749+17233+[-71.560896, 42.391796]
MA+MARLBOROUGH+1752+31813+[-71.543355, 42.350861]
MA+MAYNARD+1754+10325+[-71.454975, 42.432118]
MA+MENDON+1756+4010+[-71.549882, 42.096744]
MA+MILFORD+1757+25372+[-71.527402, 42.151142]
MA+NATICK+1760+30432+[-71.35741, 42.287476]
MA+SHERBORN+1770+3998+[-71.378717, 42.233088]
MA+SOUTHBOROUGH+1772+6122+[-71.531997, 42.293919]
MA+LINCOLN+1773+4515+[-71.313723, 42.421723]
MA+STOW+1775+5328+[-71.515019, 42.430785]
MA+SUDBURY+1776+14358+[-71.428159, 42.383655]
MA+WAYLAND+1778+11874+[-71.358781, 42.348629]
MA+WOBURN+1801+36152+[-71.157404, 42.482894]
MA+BURLINGTON+1803+23093+[-71.200437, 42.508942]
